"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2026,"LSU",49.2873218304576,88,14.9446479479536,302,30.5588585017836,166,35.6339084771193,198
2026,"La Salle",54.1633306645316,290,17.1085213596772,170,31.9559228650138,242,29.8638911128903,57
2026,"Lafayette",53.2559880239521,267,15.4614269608633,278,30.2597402597403,152,33.1586826347305,119
2026,"Lamar",50.8093525179856,158,17.839961874275,129,29.2786421499293,117,45.1438848920863,342
2026,"Le Moyne",49.9636891793755,114,15.6935657955897,262,31.3309776207303,206,34.2047930283224,144
2026,"Lehigh",50.8712121212121,164,17.538608398793,143,34.1968911917098,315,34.2424242424242,148
2026,"Liberty",51.1436413540714,175,18.1389369692185,110,32.1483771251932,250,25.5260750228728,12
2026,"Lindenwood",49.5581737849779,95,18.5989032208234,86,32.3244552058111,257,35.3460972017673,187
2026,"Lipscomb",53.2306536438768,265,18.0225756473899,120,29.7157622739018,133,30.8039068369647,65
2026,"Little Rock",54.8183254344392,309,20.1165616826596,27,36.8998628257888,353,31.5165876777251,83
2026,"Long Beach St.",54.3816543816544,296,18.0522871603108,118,28.5714285714286,82,42.997542997543,325
2026,"Longwood",53.8146021328958,278,19.965319979905,32,28.5135135135135,80,40.1148482362592,290
2026,"Louisiana",51.2335526315789,185,17.5808197222429,141,31.9034852546917,238,45.8881578947368,345
2026,"Louisiana Monroe",56.0435699226985,340,15.9775178010389,246,34.8659003831418,330,26.2825017568517,16
2026,"Louisiana Tech",48.8834951456311,81,16.9442730824594,181,30.6646525679758,169,35.8252427184466,200
2026,"Louisville",47.226443768997,35,17.7838468683757,131,27.144535840188,44,32.90273556231,114
2026,"Loyola Chicago",52.3454157782516,233,12.5866314240987,362,30.9876543209877,184,34.4705046197584,159
2026,"Loyola MD",55.1075268817204,316,16.0481444332999,243,29.7931034482759,136,31.7972350230415,90
2026,"Loyola Marymount",48.0055020632737,56,16.741121120824,198,32.7334083239595,274,33.5625859697386,126
2026,"Maine",50.3915426781519,135,19.3849648731648,58,36.3395225464191,347,33.8292873923258,133
2026,"Manhattan",54.6073977936405,301,16.2964516273984,222,38.4525205158265,361,25.1784555483452,9
2026,"Marist",44.1201000834028,5,20.2348323351267,23,28.2338308457711,72,37.9482902418682,254
2026,"Marquette",52.0773638968481,221,19.1179929142042,66,33.6708860759494,304,31.5186246418338,84
2026,"Marshall",47.9182437547313,50,17.0352804529836,175,33.0635838150289,285,41.2566237698713,311
2026,"Maryland",55.6464174454829,333,16.5471050774004,210,31.4207650273224,214,35.5140186915888,193
2026,"Maryland Eastern Shore",50.7107023411371,153,17.4240721854419,147,33.0110497237569,283,40.8862876254181,303
2026,"Massachusetts",52.5098039215686,242,18.2483942613602,102,26.2599469496021,23,46.0392156862745,347
2026,"McNeese",49.5934959349593,98,24.086754949242,2,36.376404494382,349,42.7280939476061,321
2026,"Memphis",47.6869699306091,43,19.8649311211982,37,35.042735042735,331,40.940632228219,305
2026,"Mercer",53.0769230769231,260,17.6416126588671,135,33.2899869960988,292,29.2307692307692,48
2026,"Mercyhurst",49.9136442141623,112,19.1227777240731,65,32.0441988950276,245,41.3644214162349,314
2026,"Merrimack",47.5993998499625,42,19.8266775026755,39,41.1622276029056,365,39.3098274568642,277
2026,"Miami FL",50.1182965299685,119,19.1464413640233,64,26.0869565217391,21,32.018927444795,95
2026,"Miami OH",50.7506255212677,154,18.6896622805511,82,27.5623268698061,50,32.7773144286906,109
2026,"Michigan",43.1228070175439,2,16.7695638536335,193,27.8794402583423,57,27.5087719298246,30
2026,"Michigan St.",46.5089216446858,19,16.0814363938987,241,21.5590742996346,1,30.7990690457719,64
2026,"Middle Tennessee",49.6406109613657,100,14.4552235921617,324,28.6135693215339,84,36.4779874213836,214
2026,"Milwaukee",55.2631578947368,323,16.1232318388876,237,30.379746835443,158,36.2019914651494,210
2026,"Minnesota",50.1542020046261,120,17.2034440099302,164,29.5865633074935,129,30.3777949113338,60
2026,"Mississippi",49.0763052208835,85,17.3914503227323,151,32.7889447236181,276,41.6064257028112,315
2026,"Mississippi St.",48.5232067510549,67,13.0621472474508,353,29.2571428571429,115,32.2784810126582,102
2026,"Mississippi Valley St.",57.3200992555831,355,16.87919154031,185,35.7771260997067,340,47.4772539288668,357
2026,"Missouri",50.1945525291829,122,16.8279068244692,186,30.3184713375796,154,35.408560311284,188
2026,"Missouri St.",51.1792452830189,179,18.0389477280492,119,33.5987261146497,301,39.811320754717,283
2026,"Monmouth",49.6646795827124,102,19.8819509164337,36,33.6573511543135,303,31.6691505216095,87
2026,"Montana",50.974025974026,168,15.2694584443799,286,30.510752688172,162,33.5227272727273,124
2026,"Montana St.",51.2295081967213,184,16.1675546573581,233,28.9897510980966,101,31.1475409836066,77
2026,"Morehead St.",52.2187004754358,228,16.1797128621773,231,36.0742705570292,344,37.3217115689382,232
2026,"Morgan St.",54.5977011494253,300,17.0035051085092,176,34.2995169082126,318,56.2260536398467,365
2026,"Mount St. Mary's",48.758865248227,76,15.0066561781435,299,29.0540540540541,104,37.6595744680851,247
2026,"Murray St.",50.3937007874016,136,16.0296634341129,244,31.6022099447514,227,32.9396325459318,115
2026,"N.C. State",50.8015267175573,157,19.3906667075752,57,27.9711884753902,61,37.7862595419847,251
2026,"NJIT",49.6715328467153,103,15.5021662071682,277,32.8621908127208,278,38.8321167883212,273
2026,"Navy",47.588424437299,40,18.161569433736,109,26.3835263835264,27,26.7684887459807,22
